TESEX,edtime,classdeg,classoth,exc,hw,reg,read,comp_games,working,caretaking,faminc,faminc_cat,race,race_num,GEREG,GESTFIPS,weekday,weekday_num,TUYEAR,TUMONTH,TESCHLVL,TUFINLWGT
2,460.0,400.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,5.0,11.0,3.0,White,2,3,13,Weekday,2,2003,1,1,7928938.160631
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,Asian,5,4,15,Weekend,1,2003,1,1,2512708.98209
2,355.0,0.0,355.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,,3.0,White,2,2,17,Weekday,2,2003,1,2,15033410.02223
2,235.0,160.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,10.0,7.0,1.0,Hispanic,1,2,17,Weekday,2,2003,1,2,8804200.243987
2,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,75.0,9.0,2.0,White,2,2,17,Weekday,2,2003,1,2,1404053.524233
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,80.0,11.0,3.0,White,2,2,18,Weekend,1,2003,1,2,3603196.87162
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,White,2,2,18,Weekend,1,2003,1,1,2782832.985042
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,White,2,2,18,Weekday,2,2003,1,1,3778547.585155
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,2.0,1.0,White,2,2,19,Weekday,2,2003,1,2,5581887.873018
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,13.0,3.0,White,2,2,19,Weekend,1,2003,1,2,1054892.978959
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,White,2,2,19,Weekend,1,2003,1,1,2079997.609027
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,4.0,White,2,2,19,Weekday,2,2003,1,1,3727126.143681
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,7.0,1.0,White,2,2,20,Weekend,1,2003,1,1,1202827.051947
1,60.0,0.0,0.0,0.0,60.0,0.0,15.0,0.0,355.0,0.0,13.0,3.0,White,2,2,20,Weekend,1,2003,1,1,1738118.239623
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460.0,118.0,3.0,1.0,White,2,2,20,Weekday,2,2003,1,2,8635492.155148
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,0.0,87.0,1.0,1.0,White,2,3,21,Weekday,2,2003,1,2,1442150.330895
2,423.0,420.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,14.0,4.0,White,2,3,21,Weekday,2,2003,1,1,6625441.845111
2,225.0,0.0,0.0,0.0,20.0,205.0,0.0,15.0,0.0,19.0,13.0,3.0,Black,3,3,22,Weekday,2,2003,1,2,4984825.910233
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,10.0,1.0,1.0,Hispanic,1,1,23,Weekday,2,2003,1,2,2628039.537387
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,25.0,14.0,4.0,White,2,3,24,Weekday,2,2003,1,1,11676383.11313
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,White,2,1,25,Weekday,2,2003,1,1,2801902.024899
2,0.0,0.0,0.0,0.0,0.0,0.0,120.0,60.0,0.0,0.0,14.0,4.0,White,2,1,25,Weekend,1,2003,1,1,2658098.407041
2,150.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,238.0,14.0,4.0,Hispanic,1,1,25,Weekend,1,2003,1,2,1025098.912866
2,30.0,0.0,0.0,0.0,30.0,0.0,15.0,120.0,0.0,0.0,14.0,4.0,White,2,2,26,Weekend,1,2003,1,1,2694344.173268
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,0.0,12.0,3.0,Asian,5,2,26,Weekend,1,2003,1,2,7536869.636773
1,445.0,390.0,0.0,55.0,0.0,0.0,60.0,0.0,0.0,0.0,14.0,4.0,White,2,2,27,Weekday,2,2003,1,1,5360507.12345
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,30.0,2.0,1.0,White,2,2,27,Weekday,2,2003,1,2,10020486.75302
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,White,2,2,29,Weekend,1,2003,1,1,2998535.981568
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395.0,0.0,14.0,4.0,Black,3,2,29,Weekend,1,2003,1,2,7470650.351399
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,White,2,2,29,Weekday,2,2003,1,1,6106850.423544
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,Black,3,2,29,Weekday,2,2003,1,2,7483619.272263
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,14.0,4.0,White,2,1,33,Weekend,1,2003,1,2,1837040.79535
1,150.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,510.0,60.0,14.0,4.0,White,2,1,33,Weekday,2,2003,1,2,3640153.320292
2,90.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,White,2,1,34,Weekday,2,2003,1,1,6678576.487266
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,8.0,2.0,Black,3,1,34,Weekend,1,2003,1,2,3803822.493421
2,540.0,350.0,15.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,Hispanic,1,1,34,Weekday,2,2003,1,1,5261448.857133
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,570.0,145.0,11.0,3.0,White,2,1,34,Weekday,2,2003,1,2,1334032.322936
2,0.0,0.0,0.0,0.0,0.0,0.0,60.0,90.0,0.0,10.0,12.0,3.0,White,2,1,34,Weekend,1,2003,1,1,1383713.035341
1,545.0,0.0,0.0,0.0,545.0,0.0,0.0,0.0,0.0,0.0,,3.0,White,2,1,34,Weekend,1,2003,1,1,2513647.079248
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,White,2,1,34,Weekend,1,2003,1,1,2354878.693077
